212.162, 129.093, 8.333, 17.600 False
211.745, 129.089, 8.333, 17.650 False
211.328, 129.086, 8.333, 17.700 False
210.912, 129.083, 8.333, 17.750 False
210.495, 129.080, 8.333, 17.800 False
210.078, 129.077, 8.333, 17.850 False
209.662, 129.076, 8.333, 17.900 False
209.245, 129.074, 8.333, 17.950 False
208.828, 129.072, 8.333, 18.000 False
208.412, 129.071, 8.333, 18.050 False
207.995, 129.069, 8.333, 18.100 False
207.578, 129.068, 8.333, 18.150 False
207.162, 129.067, 8.333, 18.200 False
206.745, 129.066, 8.333, 18.250 False
206.328, 129.066, 8.333, 18.300 False
205.912, 129.065, 8.333, 18.350 False
205.495, 129.065, 8.333, 18.400 False
205.078, 129.065, 8.333, 18.450 False
204.662, 129.065, 8.333, 18.500 False
204.245, 129.065, 8.333, 18.550 False
203.828, 129.065, 8.333, 18.600 False
203.412, 129.065, 8.333, 18.650 False
202.995, 129.066, 8.333, 18.700 False
202.578, 129.067, 8.333, 18.750 False
202.162, 129.067, 8.333, 18.800 False
201.745, 129.068, 8.333, 18.850 False
201.328, 129.070, 8.333, 18.900 False
200.912, 129.071, 8.333, 18.950 False
200.495, 129.072, 8.333, 19.000 False
200.079, 129.074, 8.333, 19.050 False
199.662, 129.075, 8.333, 19.100 False
199.245, 129.077, 8.333, 19.150 False
198.829, 129.079, 8.333, 19.200 False
198.412, 129.081, 8.333, 19.250 False
197.995, 129.083, 8.333, 19.300 False
197.579, 129.086, 8.333, 19.350 False
197.162, 129.088, 8.333, 19.400 False
196.745, 129.091, 8.333, 19.450 False
196.329, 129.093, 8.333, 19.500 False
195.912, 129.096, 8.333, 19.550 False
195.495, 129.099, 8.333, 19.600 False
195.079, 129.102, 8.333, 19.650 False
194.662, 129.105, 8.333, 19.700 False
194.245, 129.109, 8.333, 19.750 False
193.829, 129.112, 8.333, 19.800 False
193.412, 129.116, 8.333, 19.850 False
192.995, 129.119, 8.333, 19.900 False
192.579, 129.123, 8.333, 19.950 False
192.162, 129.127, 8.333, 20.000 False
191.745, 129.131, 8.333, 20.050 False
191.329, 129.135, 8.333, 20.100 False
190.912, 129.139, 8.333, 20.150 False
190.495, 129.143, 8.333, 20.200 False
190.079, 129.147, 8.333, 20.250 False
189.662, 129.151, 8.333, 20.300 False
189.245, 129.156, 8.333, 20.350 False
188.829, 129.160, 8.333, 20.400 False
188.412, 129.165, 8.333, 20.450 False
187.996, 129.169, 8.333, 20.500 False
187.579, 129.174, 8.333, 20.550 False
187.162, 129.178, 8.333, 20.600 False
186.746, 129.183, 8.333, 20.650 False
186.329, 129.188, 8.333, 20.700 False
185.913, 129.192, 8.333, 20.750 False
185.496, 129.197, 8.333, 20.800 False
185.079, 129.202, 8.333, 20.850 False
184.663, 129.207, 8.333, 20.900 False
184.246, 129.212, 8.333, 20.950 False
183.830, 129.217, 8.333, 21.000 False
183.413, 129.222, 8.333, 21.050 False
182.996, 129.227, 8.333, 21.100 False
182.580, 129.232, 8.333, 21.150 False
182.163, 129.237, 8.333, 21.200 False
181.747, 129.242, 8.333, 21.250 False
181.330, 129.248, 8.333, 21.300 False
180.913, 129.253, 8.333, 21.350 False
180.497, 129.258, 8.333, 21.400 False
180.080, 129.263, 8.333, 21.450 False
179.664, 129.269, 8.333, 21.500 False
179.247, 129.274, 8.333, 21.550 False
178.830, 129.279, 8.333, 21.600 False
178.414, 129.284, 8.333, 21.650 False
177.997, 129.290, 8.333, 21.700 False
177.581, 129.295, 8.333, 21.750 False
177.164, 129.300, 8.333, 21.800 False
176.747, 129.305, 8.333, 21.850 False
176.331, 129.311, 8.333, 21.900 False
175.914, 129.316, 8.333, 21.950 False
175.498, 129.321, 8.333, 22.000 False
175.081, 129.326, 8.333, 22.050 False
174.664, 129.332, 8.333, 22.100 False
174.248, 129.337, 8.333, 22.150 False
173.831, 129.342, 8.333, 22.200 False
173.415, 129.347, 8.333, 22.250 False
172.998, 129.352, 8.333, 22.300 False
172.581, 129.358, 8.333, 22.350 False
172.165, 129.363, 8.333, 22.400 False
171.748, 129.368, 8.333, 22.450 False
171.332, 129.373, 8.333, 22.500 False
